GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,MetricsContext.DetailLevel,15,0,0,0,3,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,MetricsProviderLifeCycleException,16,0,0,0,8,0,4,0,4,0
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,CounterSet,5,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,Counter,4,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,DigestAuthenticationProvider,318,0,28,0,71,0,30,0,16,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,EnsembleAuthenticationProvider,125,0,14,0,33,0,15,0,8,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName,327,0,30,0,82,0,27,0,12,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName.NoMatchingRule,4,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,AuthenticationProvider,6,0,0,0,2,0,2,0,2,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,IPAuthenticationProvider,486,0,60,0,121,0,45,0,15,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ServerAuthenticationProvider,11,0,0,0,3,0,3,0,3,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,WrappedAuthenticationProvider,55,0,4,0,14,0,10,0,8,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KeyAuthenticationProvider,124,0,10,0,35,0,14,0,9,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,SaslServerCallbackHandler,214,0,30,0,48,0,25,0,10,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ServerAuthenticationProvider.MatchValues,33,0,0,0,12,0,6,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ProviderRegistry,154,0,10,0,45,0,14,0,9,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,DigestLoginModule,41,0,2,0,12,0,7,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,SASLAuthenticationProvider,42,0,8,0,12,0,10,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName.Rule,312,0,40,0,75,0,26,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,X509AuthenticationProvider,248,0,22,0,72,0,24,0,13,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName.BadFormatString,9,0,0,0,4,0,2,0,2,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ServerAuthenticationProvider.ServerObjs,15,0,0,0,6,0,3,0,3,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,AuditLogger,1,0,0,0,1,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,Slf4jAuditLogger,21,0,2,0,6,0,4,0,3,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,ZKAuditProvider,151,0,8,0,46,0,16,0,12,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,AuditEvent.Result,21,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,AuditHelper,294,0,45,0,86,0,37,0,10,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,AuditEvent.FieldName,45,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.audit,AuditEvent,105,0,10,0,27,0,11,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.common,BCFKSFileLoader.Builder,15,0,0,0,2,0,2,0,2,0
